Stop_ID,Latitude,Longitude,Address
318,53.346302,-6.259104,"Apartment 4, Sráid Westmoreland, Temple Bar, Dublin 2, Ireland"
319,53.345966,-6.259277,"14 Westmoreland St, Dublin, Ireland"
320,53.345562,-6.259108,"4-6 Westmoreland St, Dublin, Ireland"
322,53.404251,-6.265346,"R108, Santry Demesne, Dublin, Ireland"
323,53.412922,-6.276433,"Silloge Green, Silloge, Co. Dublin, Ireland"
324,53.416733,-6.2776,"Harristown Bus Depot Unit 1, Horizon Logistics Park, Swords, Co. Dublin, Ireland"
325,53.34676,-6.259911,"Aston House, Aston Pl, Temple Bar, Dublin 2, Ireland"
326,53.346615,-6.2604,"Aston House, Aston Pl, Temple Bar, Dublin 2, Ireland"
327,53.34585,-6.265451,"14 Wellington Quay, Temple Bar, Dublin, Ireland"
328,53.346485,-6.261075,"Aston Abbey, Aston Quay, Temple Bar, Dublin 2, Ireland"
329,53.346344,-6.26169,"Apartment 6, Aston Court, Bedford Row, Temple Bar, Dublin 2, Ireland"
332,53.416668,-6.277433,"Harristown Bus Depot Unit 1, Horizon Logistics Park, Swords, Co. Dublin, Ireland"
333,53.346611,-6.258372,"10 D'Olier Street, Dublin, Ireland"
334,53.346485,-6.258205,"21 D'Olier Street, Dublin, Ireland"
335,53.346294,-6.257934,"13-21 D'Olier Street, Dublin, Ireland"
336,53.346172,-6.257756,"13 D'Olier Street, Dublin, Ireland"
337,53.345932,-6.258183,"31 Fleet St, Dublin, Ireland"
339,53.339966,-6.22705,"Dermot O'Hurley Avenue, Dublin, Ireland"
340,53.34597,-6.25614,"12-186 Townsend St, Dublin, Ireland"
341,53.345951,-6.256484,"12-186 Townsend St, Dublin, Ireland"
342,53.345551,-6.256633,"Pearse St, Dublin, Ireland"
346,53.345585,-6.256662,"Pearse St, Dublin, Ireland"
347,53.345581,-6.257723,"7 College St, Dublin, Ireland"
348,53.345268,-6.258538,"College St, Dublin, Ireland"
349,53.345402,-6.258235,"7 College St, Dublin, Ireland"
350,53.345562,-6.249774,"121 Townsend St, Dublin, Ireland"
351,53.343327,-6.245327,"68-130 Pearse St, Dublin, Ireland"
352,53.342896,-6.242437,"Saint Andrew's Resource Centre, Pearse St, Grand Canal Dock, Dublin 2, Ireland"
353,53.342545,-6.239623,"Pearse St, Grand Canal Dock, Dublin, Ireland"
354,53.342167,-6.233817,"37-95 Ringsend Rd, Grand Canal Dock, Dublin, Ireland"
355,53.341717,-6.233049,"30-50 Ringsend Rd, Grand Canal Dock, Dublin, Ireland"
356,53.34182,-6.226732,"11-17 Bridge St, Dublin, Ireland"
357,53.339077,-6.22307,"70 Irishtown Rd, Dublin, Ireland"
359,53.337299,-6.219067,"Beach Haven, Beach Rd, Dublin 4, Ireland"
371,53.338631,-6.223027,"74-78 Irishtown Rd, Dublin, Ireland"
372,53.335415,-6.219719,"2-30 Sandymount Rd, Dublin, Ireland"
373,53.334202,-6.217946,"63 Sandymount Rd, Dublin, Ireland"
374,53.333111,-6.216416,"Malvern, Sandymount Rd, Dublin 4, Ireland"
375,53.334,-6.21432,"Moondearg, Dromard Terrace, Dublin 4, Ireland"
376,53.330654,-6.209343,"33-35 Strand Rd, Dublin, Ireland"
377,53.328739,-6.208854,"63-65 Strand Rd, Dublin, Ireland"
378,53.325611,-6.207346,"124 Strand Rd, Dublin, Ireland"
380,53.324215,-6.212283,"11, Saint Johns Court, Park Ave, Dublin 4, Ireland"
381,53.324215,-6.212283,"11, Saint Johns Court, Park Ave, Dublin 4, Ireland"
382,53.325043,-6.207619,"Apartment 3, Seamount House, St John's Rd, Dublin 4, Ireland"
383,53.328621,-6.208836,"65-67 Strand Rd, Dublin, Ireland"
384,53.331657,-6.210115,"11-13 Strand Rd, Dublin, Ireland"
385,53.332394,-6.211216,"24 Newgrove Ave, Dublin, Ireland"
387,53.332584,-6.21574,"Sandymount Village Centre, Sandymount Rd, Dublin 4, Ireland"
388,53.334549,-6.218457,"2-30 Sandymount Rd, Dublin, Ireland"
389,53.335316,-6.219572,"2-30 Sandymount Rd, Dublin, Ireland"
390,53.337532,-6.222435,"11-13 Tritonville Rd, Dublin, Ireland"
391,53.340126,-6.223919,"66 Irishtown Rd, Dublin, Ireland"
392,53.341789,-6.227433,"18-20 Bridge St, Dublin, Ireland"
393,53.33688,-6.222294,"25-27 Tritonville Rd, Dublin, Ireland"
395,53.342033,-6.234,"37-95 Ringsend Rd, Grand Canal Dock, Dublin, Ireland"
396,53.342556,-6.239701,"Pearse St, Grand Canal Dock, Dublin, Ireland"
397,53.34285,-6.242059,"Saint Andrew's Resource Centre, Pearse St, Grand Canal Dock, Dublin 2, Ireland"
398,53.343365,-6.245518,"68-130 Pearse St, Dublin, Ireland"
399,53.343922,-6.248244,"51 Pearse St, Dublin, Ireland"
400,53.344841,-6.252754,"33-35 Pearse St, Dublin, Ireland"
401,53.344082,-6.25924,"113-119 R138, Dublin, Ireland"
402,53.343899,-6.25924,"113-119 R138, Dublin, Ireland"
403,53.342678,-6.256696,"20-32 Nassau St, Dublin, Ireland"
404,53.342617,-6.256422,"20-32 Nassau St, Dublin, Ireland"
405,53.342419,-6.255597,"5-13 Nassau St, Dublin, Ireland"
406,53.342567,-6.256207,"18 Nassau St, Dublin, Ireland"
407,53.348274,-6.253854,"Custom House Quay, North Dock, Dublin, Ireland"
408,53.340919,-6.250031,"School of Cosmic Physics, Dublin, Ireland"
409,53.340092,-6.247671,"London College Dublin, Merrion Square N, Dublin 2, Ireland"
410,53.338776,-6.243891,"Slane House, Mount Street Lower, Grand Canal Dock, Dublin 2, Ireland"
411,53.338043,-6.241783,"Ferry House, Mount Street Lower, Grand Canal Dock, Dublin 2, Ireland"
412,53.335163,-6.237385,"1-41 Northumberland Rd, Dublin, Ireland"
413,53.334003,-6.23657,"55-69 Northumberland Rd, Dublin, Ireland"
414,53.331436,-6.23449,"130-140 Pembroke Rd, Dublin, Ireland"
